Title,Theater,Trailer,Reviews,Synopsis,Times
"VICEROY'S HOUSE","<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/iA6DUgpY3gQ' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=viceroys house' target=_blank>Reviews</a>",,"1:20 pm, 4:05 pm, 7:30 pm, 9:50 pm"
DOLORES,"<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/Unzr9kiFScQ' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=dolores' target=_blank>Reviews</a>",,"1:00 pm, 1:45 pm, 3:15 pm, 4:10 pm, 5:25 pm, 7:05 pm, 7:40 pm, 9:25 pm, 10:00 pm"
POLINA,"<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/kM5UZZqmL9E' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=polina' target=_blank>Reviews</a>",,"1:10 pm, 4:00 pm, 7:10 pm, 9:35 pm"
COLUMBUS,"<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/r3dcnV6Z9Zs' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=columbus' target=_blank>Reviews</a>",,"1:35 pm, 4:20 pm, 7:20 pm, 9:40 pm"
GOOK,"<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/mmXVeH1lDjk' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=gook' target=_blank>Reviews</a>",,"1:15 pm, 3:20 pm, 5:30 pm, 7:45 pm, 9:55 pm"
IT,"<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/xKJmEC5ieOk' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=it' target=_blank>Reviews</a>",,"1:05 pm, 1:30 pm, 3:50 pm, 4:30 pm, 7:00 pm, 7:25 pm, 9:45 pm, 10:10 pm"
"WIND RIVER","<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/zN9PDOoLAfg' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=wind river' target=_blank>Reviews</a>",,"1:25 pm, 4:15 pm, 7:15 pm, 9:30 pm"
"BABY DRIVER","<a href='https://www.landmarktheatres.com/san-francisco-east-bay/shattuck-cinemas' target=_blank>Shattuck Cinemas</a>","<a href='http://www.youtube.com/embed/YirEgK7yJCg' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=baby driver' target=_blank>Reviews</a>",,"1:40 pm, 4:25 pm, 7:35 pm, 10:05 pm"
"REBEL IN THE RYE","<a href='https://www.landmarktheatres.com/san-francisco-east-bay/albany-twin' target=_blank>Albany Twin</a>","<a href='http://www.youtube.com/embed/hjt3J9mM7aE' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=rebel in the rye' target=_blank>Reviews</a>",,"2:00 pm, 4:30 pm, 7:00 pm"
MENASHE,"<a href='https://www.landmarktheatres.com/san-francisco-east-bay/albany-twin' target=_blank>Albany Twin</a>","<a href='http://www.youtube.com/embed/83UoZcdX__Y' target=_blank>Trailer</a>","<a href='http://rottentomatoes.com/search/?search=menashe' target=_blank>Reviews</a>",,"2:15 pm, 4:45 pm, 7:15 pm"
